no;created_at;username;text;sentiment
1;2022-12-18 15:46:55+00:00;Badan Otonom Pers Mahasiswa Wacana;b'Beredar video klarifikasi permohonan maaf terkait perbuatan tidak menyenangkan yang dilakukan Calon Presiden mahasi\xe2\x80\xa6 https://t.co/38Su0Z4XQo';-1
2;2022-12-18 14:57:25+00:00;🦄retnoeddy🦄;b'RT @KompasTV: Presiden @jokowi meminta agar Badan Pengawas Pemilihan Umum (Bawaslu) membuat aturan Pemilu 2024 jelas dan efektif. Hal itu d\xe2\x80\xa6';1
3;2022-12-18 14:49:51+00:00;영화카르노사우르3프라이멀스피시즈;b'RT @jokowi: Sebagaimana perintah undang-undang, kita harus menyiapkan pemilihan serentak untuk presiden dan wakil presiden, DPR, DPD, DPRD,\xe2\x80\xa6';1
4;2022-12-18 14:23:57+00:00;Adi Jaka Saputra;b'Presiden Joko Widodo menekankan empat arahan saat menyampaikan sambutan pada acara Konsolidasi Nasional Badan Penga\xe2\x80\xa6 https://t.co/4a5bvNqNqu';1
5;2022-12-18 13:20:06+00:00;Johan Woda;b'RT @eno_basuki: Presiden Joko Widodo secara resmi membuka Konsolidasi Nasional Badan Pengawas Pemilihan Umum (Bawaslu) RI yang digelar di H\xe2\x80\xa6';1
6;2022-12-18 12:50:02+00:00;markus_joe;b'RT @jokowi: Sebagaimana perintah undang-undang, kita harus menyiapkan pemilihan serentak untuk presiden dan wakil presiden, DPR, DPD, DPRD,\xe2\x80\xa6';1
7;2022-12-18 12:36:55+00:00;suryasena♉;b'Enggak lah!!!!\nGak bagus usulan tsb!\nUsul saja masa bakti presiden 3 periode melalui pemilihan setiap 5th sekali!\nJ\xe2\x80\xa6 https://t.co/F4Q94ZRX08';1
8;2022-12-18 12:29:04+00:00;Senang Senang;b'@alterspaces Yuk ngobrolin pemilihan presiden 2023';0
9;2022-12-18 12:02:00+00:00;KOMPAS TV;b'Presiden @jokowi berpesan ke Bawaslu agar mengawasi penyusunan Daftar Pemilih Tetap (DPT). Jokowi menyebut permasal\xe2\x80\xa6 https://t.co/3uUhBKwkxE';1
10;2022-12-18 11:10:34+00:00;Tukang Retweet;b'RT @fim_mifta: Sudah jd rahasia umum kl dunia politik Indonesia saat ini adalah politik transaksional. Itu berlaku dlm pemilihan kades, bup\xe2\x80\xa6';-1
11;2022-12-18 10:39:22+00:00;Lina Amalia Putri;b'@GanjaranApp ya saya harap pak Ganjar benar benar memenangkan pemilihan presiden nanti,agar banyak masyarakat yang bahagia';1
